fu_element 1;fu_A1;fu_Z1;fu_element 2;fu_A2;fu_Z2;fu_element;fu_A;fu_Z;fu_MeV;fi_element;fi_A;fi_Z;element 1;fi_A1;fi_Z1;fi_element 2;fi_A2;fi_Z2;fi_MeV
O;16;8;Kr;80;36;Ru;96;44;3,4447;Er;168;68;Не;4;2;Dy;164;66;0,8821
O;18;8;Kr;80;36;Ru;98;44;9,355;Er;162;68;C;13;6;Sm;149;62;7,9326
O;16;8;Kr;82;36;Ru;98;44;2,6995;Er;162;68;C;12;6;Sm;150;62;10,9823
O;17;8;Kr;82;36;Ru;99;44;6,0892;Er;164;68;C;12;6;Sm;152;62;9,138
O;18;8;Kr;82;36;Ru;100;44;8,9638;Er;166;68;C;12;6;Sm;154;62;7,8152
O;16;8;Kr;83;36;Ru;99;44;2,7628;Er;167;68;C;13;6;Sm;154;62;6,228
O;17;8;Kr;83;36;Ru;100;44;9,5432;Er;162;68;O;18;8;Nd;144;60;18,3877
O;18;8;Kr;83;36;Ru;101;44;8,5427;Er;162;68;O;17;8;Nd;145;60;16,3067
O;16;8;Kr;84;36;Ru;100;44;3,1661;Er;162;68;O;16;8;Nd;146;60;19,743
O;17;8;Kr;84;36;Ru;101;44;6,0715;Er;164;68;O;18;8;Nd;146;60;16,2546
O;18;8;Kr;84;36;Ru;102;44;6,4683;Er;164;68;O;16;8;Nd;148;60;16,6784
O;16;8;Kr;86;36;Ru;102;44;1,6879;Er;166;68;O;18;8;Nd;148;60;13,7489
O;18;8;Kr;86;36;Ru;104;44;3,9561;Er;166;68;O;16;8;Nd;150;60;13,7628
F;19;9;Kr;84;36;Rh;103;45;4,759;Er;167;68;O;17;8;Nd;150;60;11,3698
Ne;22;10;Kr;80;36;Pd;102;46;2,6343;Er;168;68;O;18;8;Nd;150;60;11,653
Ne;20;10;Kr;82;36;Pd;102;46;0,9175;Er;162;68;Ne;22;10;Ce;140;58;29,4306
Ne;22;10;Kr;82;36;Pd;104;46;1,2184;Er;162;68;Ne;20;10;Ce;142;58;25,4466
Ne;21;10;Kr;83;36;Pd;104;46;4,1172;Er;164;68;Ne;22;10;Ce;142;58;26,8969
Ne;22;10;Kr;83;36;Pd;105;46;0,816;Er;162;68;Na;23;11;La;139;57;30,7086
Ne;20;10;Kr;84;36;Pd;104;46;0,3596;Er;162;68;Mg;26;12;Ba;136;56;38,9821
Ne;21;10;Kr;84;36;Pd;105;46;0,6642;Er;162;68;Mg;25;12;Ba;137;56;34,8379
D;2;1;La;138;57;Ce;140;58;14,0581;Er;162;68;Mg;24;12;Ba;138;56;36,0907
Н;1;1;La;139;57;Ce;140;58;7,5125;Er;164;68;Mg;26;12;Ba;138;56;38,8424
He;3;2;La;138;57;Pr;141;59;14,3916;Er;164;68;Al;27;13;Cs*;137;55;38,14
Li;6;3;La;138;57;Nd;144;60;11,2115;Er;162;68;Si;30;14;Xe;132;54;47,3916
Li;7;3;La;138;57;Nd;145;60;9,9251;Er;162;68;Si;28;14;Xe;134;54;43,2912
Li;6;3;La;139;57;Nd;145;60;8,4077;Er;164;68;Si;30;14;Xe;134;54;46,706
Li;7;3;La;139;57;Nd;146;60;8,7328;Er;164;68;Si;28;14;Xe;136;54;42,0588
B;10;5;La;138;57;Sm;148;62;4,8335;Er;166;68;Si;30;14;Xe;136;54;46,0326
B;10;5;La;139;57;Sm;149;62;1,9273;Er;162;68;S;34;16;Te;128;52;52,3733
D;2;1;Li;7;3;Be;9;4;16,6933;Er;162;68;S;32;16;Te;130;52;46,5989
Не;4;2;Li;6;3;B;10;5;4,4619;Er;164;68;S;34;16;Te;130;52;50,9853
He;3;2;Li;7;3;B;10;5;17,7878;Er;162;68;Ar;40;18;Sn;122;50;58,6897
Не;4;2;Li;7;3;B;11;5;8,6657;Er;162;68;Ar;38;18;Sn;124;50;56,6674
Li;6;3;Li;6;3;C;12;6;28,1796;Er;164;68;Ar;40;18;Sn;124;50;57,4508
Li;6;3;Li;7;3;C;13;6;25,8741;Er;162;68;Ca;48;20;Cd;114;48;67,8752
Н;1;1;Lu;175;71;Hf;176;72;6,581;Er;162;68;Ca;46;20;Cd;116;48;65,2987
D;2;1;Lu;175;71;Hf;177;72;10,7234;Er;164;68;Ca;48;20;Cd;116;48;66,9996
Н;1;1;Lu;176;71;Hf;177;72;6,5996;Er;162;68;Ge;76;32;Kr;86;36;90,1901
D;2;1;Lu;176;71;Hf;178;72;12,0833;Tm;169;69;Не;4;2;Ho;165;67;1,3479
Li;7;3;Lu;175;71;W;182;74;8,0341;Tm;169;69;B;11;5;Gd;158;64;0,8803
Li;6;3;Lu;176;71;W;182;74;8,9386;Tm;169;69;N;15;7;Sm;154;62;11,394
Li;7;3;Lu;176;71;W;183;74;7,8758;Tm;169;69;F;19;9;Nd;150;60;14,1913
Be;9;4;Lu;176;71;Re;185;75;1,7754;Yb;170;70;Не;4;2;Er;166;68;1,7484
B;10;5;Lu;176;71;Os;186;76;1,6199;Yb;171;70;Не;4;2;Er;167;68;1,7018
D;2;1;Mg;25;12;Al;27;13;17,146;Yb;172;70;Не;4;2;Er;168;68;1,469
Н;1;1;Mg;26;12;Al;27;13;8,2726;Yb;174;70;Не;4;2;Er;170;68;0,8449
Не;4;2;Mg;24;12;Si;28;14;9,9865;Yb;170;70;B;11;5;Tb;159;65;0,5822
He;3;2;Mg;25;12;Si;28;14;23,2343;Yb;170;70;C;13;6;Gd;157;64;7,0663
Не;4;2;Mg;25;12;Si;29;14;11,1332;Yb;170;70;C;12;6;Gd;158;64;10,0415
He;3;2;Mg;26;12;Si;29;14;20,614;Yb;171;70;C;13;6;Gd;158;64;8,4077
Не;4;2;Mg;26;12;Si;30;14;10,6498;Yb;172;70;C;12;6;Gd;160;64;8,7933
Li;7;3;Mg;24;12;P;31;15;25,4177;Yb;173;70;C;13;6;Gd;160;64;7,2899
Li;6;3;Mg;25;12;P;31;15;25,3394;Yb;170;70;O;18;8;Sm;152;62;15,1181
Be;9;4;Mg;24;12;S;33;16;24,0046;Yb;170;70;O;16;8;Sm;154;62;16,725
Be;9;4;Mg;25;12;S;34;16;28,0948;Yb;171;70;O;17;8;Sm;154;62;14,2854
B;11;5;Mg;24;12;Cl;35;17;23,7484;Yb;172;70;O;18;8;Sm;154;62;14,3357
B;10;5;Mg;25;12;Cl;35;17;27,874;Yb;170;70;Ne;22;10;Nd;148;60;25,1643
B;11;5;Mg;26;12;Cl;37;17;24,2188;Yb;170;70;Ne;20;10;Nd;150;60;20,2395
