fu_element 1;fu_A1;fu_Z1;fu_element 2;fu_A2;fu_Z2;fu_element;fu_A;fu_Z;fu_MeV;fi_element;fi_A;fi_Z;element 1;fi_A1;fi_Z1;fi_element 2;fi_A2;fi_Z2;fi_MeV
Ne;21;10;S;33;16;Fe;54;26;23,9292;;;;;;;;;;
Ne;20;10;S;34;16;Fe;54;26;19,2689;;;;;;;;;;
Ne;22;10;S;34;16;Fe;56;26;22,6521;;;;;;;;;;
Mg;26;12;S;32;16;Ni;58;28;17,9993;;;;;;;;;;
Mg;25;12;S;33;16;Ni;58;28;20,4547;;;;;;;;;;
Mg;24;12;S;34;16;Ni;58;28;16,3645;;;;;;;;;;
Mg;26;12;S;34;16;Ni;60;28;18,3253;;;;;;;;;;
Si;30;14;S;34;16;Zn;64;30;11,626;;;;;;;;;;
Н;1;1;Sb;121;51;Te;122;52;7,9876;;;;;;;;;;
D;2;1;Sb;121;51;Te;123;52;12,7354;;;;;;;;;;
Н;1;1;Sb;123;51;Te;124;52;8,5837;;;;;;;;;;
D;2;1;Sb;123;51;Te;125;52;12,8844;;;;;;;;;;
Не;4;2;Sb;123;51;I;127;53;2,2365;;;;;;;;;;
Li;7;3;Sb;121;51;Xe;128;54;15,106;;;;;;;;;;
Li;6;3;Sb;123;51;Xe;129;54;13,4992;;;;;;;;;;
Li;7;3;Sb;123;51;Xe;130;54;15,5047;;;;;;;;;;
B;11;5;Sb;121;51;Ba;132;56;7,3914;;;;;;;;;;
B;11;5;Sb;123;51;Ba;134;56;8,5185;;;;;;;;;;
Н;1;1;Sc;45;21;Ti;46;22;10,3498;;;;;;;;;;
D;2;1;Sc;45;21;Ti;47;22;17,0119;;;;;;;;;;
Li;7;3;Sc;45;21;Cr;52;24;29,2582;;;;;;;;;;
B;11;5;Sc;45;21;Fe;56;26;28,2168;;;;;;;;;;
N;15;7;Sc;45;21;Ni;60;28;23,5146;;;;;;;;;;
O;18;8;Sc;45;21;Cu;63;29;23,7382;;;;;;;;;;
F;19;9;Sc;45;21;Zn;64;30;23,4541;;;;;;;;;;
D;2;1;Se;77;34;Br;79;35;14,6133;;;;;;;;;;
Н;1;1;Se;78;34;Br;79;35;6,3574;;;;;;;;;;
Н;1;1;Se;80;34;Br;81;35;7,4454;;;;;;;;;;
Не;4;2;Se;74;34;Kr;78;36;4,364;;;;;;;;;;
Не;4;2;Se;76;34;Kr;80;36;5,0757;;;;;;;;;;
He;3;2;Se;77;34;Kr;80;36;18,2396;;;;;;;;;;
Не;4;2;Se;78;34;Kr;82;36;6,0249;;;;;;;;;;
He;3;2;Se;80;34;Kr;83;36;17,1497;;;;;;;;;;
Не;4;2;Se;80;34;Kr;84;36;7,0896;;;;;;;;;;
Li;7;3;Se;78;34;Rb;85;37;20,1603;;;;;;;;;;
Li;7;3;Se;80;34;Rb;87;37;21,7383;;;;;;;;;;
Be;9;4;Se;77;34;Sr;86;38;21,294;;;;;;;;;;
Be;9;4;Se;78;34;Sr;87;38;19,2298;;;;;;;;;;
B;11;5;Se;78;34;Y;89;39;19,7691;;;;;;;;;;
C;13;6;Se;77;34;Zr;90;40;17,6686;;;;;;;;;;
C;12;6;Se;78;34;Zr;90;40;12,1355;;;;;;;;;;
C;13;6;Se;78;34;Zr;91;40;14,3934;;;;;;;;;;
C;12;6;Se;80;34;Zr;92;40;11,1053;;;;;;;;;;
N;15;7;Se;78;34;Nb;93;41;10,6526;;;;;;;;;;
O;18;8;Se;74;34;Mo;92;42;14,2705;;;;;;;;;;
O;16;8;Se;76;34;Mo;92;42;7,316;;;;;;;;;;
O;18;8;Se;76;34;Mo;94;42;12,714;;;;;;;;;;
O;17;8;Se;77;34;Mo;94;42;13,3464;;;;;;;;;;
O;18;8;Se;77;34;Mo;95;42;12,4578;;;;;;;;;;
O;16;8;Se;78;34;Mo;94;42;7,0076;;;;;;;;;;
O;17;8;Se;78;34;Mo;95;42;10,0247;;;;;;;;;;
O;18;8;Se;78;34;Mo;96;42;11,1388;;;;;;;;;;
O;16;8;Se;80;34;Mo;96;42;6,4059;;;;;;;;;;
O;17;8;Se;80;34;Mo;97;42;9,2181;;;;;;;;;;
O;18;8;Se;80;34;Mo;98;42;9,4658;;;;;;;;;;
Ne;22;10;Se;74;34;Ru;96;44;5,8079;;;;;;;;;;
Ne;20;10;Se;76;34;Ru;96;44;3,7921;;;;;;;;;;
Ne;22;10;Se;76;34;Ru;98;44;4,7637;;;;;;;;;;
Ne;21;10;Se;77;34;Ru;98;44;7,7156;;;;;;;;;;
Ne;22;10;Se;77;34;Ru;99;44;4,8801;;;;;;;;;;
Ne;20;10;Se;78;34;Ru;98;44;3,9961;;;;;;;;;;
Ne;21;10;Se;78;34;Ru;99;44;4,7665;;;;;;;;;;
Ne;22;10;Se;78;34;Ru;100;44;5,3216;;;;;;;;;;
Ne;20;10;Se;80;34;Ru;100;44;5,5275;;;;;;;;;;
Ne;21;10;Se;80;34;Ru;101;44;5,8135;;;;;;;;;;
Ne;22;10;Se;80;34;Ru;102;44;3,8909;;;;;;;;;;
Na;23;11;Se;80;34;Rh;103;45;1,3833;;;;;;;;;;
Mg;25;12;Se;77;34;Pd;102;46;0,7769;;;;;;;;;;
D;2;1;Si;29;14;P;31;15;15,677;;;;;;;;;;
Н;1;1;Si;30;14;P;31;15;7,2871;;;;;;;;;;
Не;4;2;Si;28;14;S;32;16;6,9452;;;;;;;;;;
He;3;2;Si;29;14;S;32;16;19,0463;;;;;;;;;;
Не;4;2;Si;29;14;S;33;16;7,1101;;;;;;;;;;
He;3;2;Si;30;14;S;33;16;17,0743;;;;;;;;;;
Не;4;2;Si;30;14;S;34;16;7,9168;;;;;;;;;;
Li;7;3;Si;28;14;Cl;35;17;22,4276;;;;;;;;;;
Li;6;3;Si;29;14;Cl;35;17;21,2027;;;;;;;;;;
Li;7;3;Si;30;14;Cl;37;17;22,2348;;;;;;;;;;
Be;9;4;Si;29;14;Ar;38;18;24,1741;;;;;;;;;;
B;11;5;Si;28;14;K;39;19;20,9754;;;;;;;;;;
B;10;5;Si;29;14;K;39;19;23,9543;;;;;;;;;;
B;11;5;Si;29;14;K;40;19;20,2954;;;;;;;;;;
B;10;5;Si;30;14;K;40;19;21,1375;;;;;;;;;;
B;11;5;Si;30;14;K;41;19;19,7766;;;;;;;;;;
C;12;6;Si;28;14;Ca;40;20;13,3558;;;;;;;;;;
C;13;6;Si;29;14;Ca;42;20;19,7635;;;;;;;;;;
C;12;6;Si;30;14;Ca;42;20;14,0963;;;;;;;;;;
C;13;6;Si;30;14;Ca;43;20;17,0789;;;;;;;;;;
N;15;7;Si;30;14;Sc;45;21;16,7203;;;;;;;;;;
O;18;8;Si;28;14;Ti;46;22;21,8473;;;;;;;;;;
O;17;8;Si;29;14;Ti;46;22;21,4169;;;;;;;;;;
O;18;8;Si;29;14;Ti;47;22;22,2562;;;;;;;;;;
O;16;8;Si;30;14;Ti;46;22;14,944;;;;;;;;;;
O;17;8;Si;30;14;Ti;47;22;19,689;;;;;;;;;;
O;18;8;Si;30;14;Ti;48;22;23,2622;;;;;;;;;;
Ne;22;10;Si;28;14;Cr;50;24;20,736;;;;;;;;;;
Ne;21;10;Si;29;14;Cr;50;24;22,6251;;;;;;;;;;
Ne;20;10;Si;30;14;Cr;50;24;18,7715;;;;;;;;;;
Ne;22;10;Si;30;14;Cr;52;24;22,9446;;;;;;;;;;
Mg;26;12;Si;28;14;Fe;54;26;18,5339;;;;;;;;;;
Mg;25;12;Si;29;14;Fe;54;26;21,1542;;;;;;;;;;
Mg;24;12;Si;30;14;Fe;54;26;17,8707;;;;;;;;;;
Mg;26;12;Si;30;14;Fe;56;26;19,9526;;;;;;;;;;
Si;29;14;Si;29;14;Ni;58;28;16,4316;;;;;;;;;;
Si;28;14;Si;30;14;Ni;58;28;14,2947;;;;;;;;;;
Si;30;14;Si;30;14;Ni;60;28;15,5923;;;;;;;;;;
D;2;1;Sm;149;62;Eu;151;63;10,6209;;;;;;;;;;
Н;1;1;Sm;150;62;Eu;151;63;4,8484;;;;;;;;;;
Н;1;1;Sm;152;62;Eu;153;63;6,0128;;;;;;;;;;
He;3;2;Sm;149;62;Gd;152;64;12,51;;;;;;;;;;
He;3;2;Sm;152;62;Gd;155;64;12,0442;;;;;;;;;;
He;3;2;Sm;154;62;Gd;157;64;13,1341;;;;;;;;;;
Не;4;2;Sm;154;62;Gd;158;64;0,4779;;;;;;;;;;
Li;7;3;Sm;152;62;Tb;159;65;9,8226;;;;;;;;;;
Be;9;4;Sm;147;62;Dy;156;66;2,8373;;;;;;;;;;
Be;9;4;Sm;149;62;Dy;158;66;4,8028;;;;;;;;;;
Be;9;4;Sm;152;62;Dy;161;66;4,7283;;;;;;;;;;
Be;9;4;Sm;154;62;Dy;163;66;5,4269;;;;;;;;;;
B;11;5;Sm;154;62;Ho;165;67;0,9455;;;;;;;;;;
D;2;1;Sn;119;50;Sb;121;51;12,8006;;;;;;;;;;
Н;1;1;Sn;120;50;Sb;121;51;5,7799;;;;;;;;;;
Н;1;1;Sn;122;50;Sb;123;51;6,5996;;;;;;;;;;
Не;4;2;Sn;116;50;Te;120;52;0,1891;;;;;;;;;;
He;3;2;Sn;117;50;Te;120;52;13,5812;;;;;;;;;;
Не;4;2;Sn;118;50;Te;122;52;1,2976;;;;;;;;;;
He;3;2;Sn;119;50;Te;122;52;15,2951;;;;;;;;;;
Не;4;2;Sn;119;50;Te;123;52;1,6888;;;;;;;;;;
He;3;2;Sn;120;50;Te;123;52;13,0223;;;;;;;;;;
Не;4;2;Sn;120;50;Te;124;52;1,8378;;;;;;;;;;
He;3;2;Sn;122;50;Te;125;52;13,991;;;;;;;;;;
Не;4;2;Sn;122;50;Te;126;52;2,5812;;;;;;;;;;
Не;4;2;Sn;124;50;Te;128;52;2,9184;;;;;;;;;;
Li;7;3;Sn;120;50;I;127;53;12,8388;;;;;;;;;;
Be;9;4;Sn;115;50;Xe;124;54;8,9386;;;;;;;;;;
Be;9;4;Sn;117;50;Xe;126;54;10,3182;;;;;;;;;;
Be;9;4;Sn;119;50;Xe;128;54;11,2133;;;;;;;;;;
Be;9;4;Sn;120;50;Xe;129;54;8,879;;;;;;;;;;
Be;9;4;Sn;122;50;Xe;131;54;9,7891;;;;;;;;;;
B;11;5;Sn;122;50;Cs;133;55;7,1026;;;;;;;;;;
C;13;6;Sn;117;50;Ba;130;56;0,1993;;;;;;;;;;
C;13;6;Sn;119;50;Ba;132;56;1,5127;;;;;;;;;;
C;13;6;Sn;122;50;Ba;135;56;1,1122;;;;;;;;;;
C;12;6;Sn;124;50;Ba;136;56;0,8197;;;;;;;;;;
C;13;6;Sn;124;50;Ba;137;56;2,8262;;;;;;;;;;
N;14;7;Sn;124;50;La;138;57;1,5575;;;;;;;;;;
D;2;1;Sr;87;38;Y;89;39;16,3589;;;;;;;;;;
Н;1;1;Sr;88;38;Y;89;39;7,4566;;;;;;;;;;
Не;4;2;Sr;86;38;Zr;90;40;7,0263;;;;;;;;;;
He;3;2;Sr;87;38;Zr;90;40;19,1888;;;;;;;;;;
Не;4;2;Sr;87;38;Zr;91;40;5,8153;;;;;;;;;;
He;3;2;Sr;88;38;Zr;91;40;15,2672;;;;;;;;;;
Не;4;2;Sr;88;38;Zr;92;40;3,3748;;;;;;;;;;
Li;7;3;Sr;86;38;Nb;93;41;17,9266;;;;;;;;;;
Li;6;3;Sr;87;38;Nb;93;41;16,7632;;;;;;;;;;
Be;9;4;Sr;86;38;Mo;95;42;14,6487;;;;;;;;;;
Be;9;4;Sr;87;38;Mo;96;42;15,3939;;;;;;;;;;
Be;9;4;Sr;88;38;Mo;97;42;11,2208;;;;;;;;;;
C;12;6;Sr;84;38;Ru;96;44;5,3803;;;;;;;;;;
C;12;6;Sr;86;38;Ru;98;44;3,5024;;;;;;;;;;
C;13;6;Sr;86;38;Ru;99;44;6,0864;;;;;;;;;;
C;12;6;Sr;87;38;Ru;99;44;2,6175;;;;;;;;;;
C;13;6;Sr;87;38;Ru;100;44;8,5921;;;;;;;;;;
C;12;6;Sr;88;38;Ru;100;44;2,4126;;;;;;;;;;
C;13;6;Sr;88;38;Ru;101;44;4,5122;;;;;;;;;;
N;15;7;Sr;88;38;Rh;103;45;0,8551;;;;;;;;;;
O;18;8;Sr;84;38;Pd;102;46;7,0756;;;;;;;;;;
O;18;8;Sr;86;38;Pd;104;46;4,5271;;;;;;;;;;
O;17;8;Sr;87;38;Pd;104;46;4,1582;;;;;;;;;;
O;18;8;Sr;87;38;Pd;105;46;3,1764;;;;;;;;;;
O;17;8;Sr;88;38;Pd;105;46;0,0969;;;;;;;;;;
O;18;8;Sr;88;38;Pd;106;46;1,4624;;;;;;;;;;
Не;4;2;Sr*;90;38;Zr;94;40;3,5332;;;;;;;;;;
C;12;6;Sr*;90;38;Ru;102;44;3,3627;;;;;;;;;;
O;18;8;Sr*;90;38;Pd;108;46;2,3939;;;;;;;;;;
F;19;9;Sr*;90;38;Ag;109;47;0,9641;;;;;;;;;;
D;2;1;Ta;180;73;W;182;74;12,4373;;;;;;;;;;
Н;1;1;Ta;181;73;W;182;74;7,0188;;;;;;;;;;
D;2;1;Ta;181;73;W;183;74;10,9842;;;;;;;;;;
Li;6;3;Ta;180;73;Os;186;76;8,1096;;;;;;;;;;
Li;7;3;Ta;180;73;Os;187;76;7,0468;;;;;;;;;;
Li;6;3;Ta;181;73;Os;187;76;6,6565;;;;;;;;;;
Li;7;3;Ta;181;73;Os;188;76;7,4659;;;;;;;;;;
B;10;5;Ta;180;73;Pt;190;78;0,4741;;;;;;;;;;
Н;1;1;Tb;159;65;Dy;160;66;7,4007;;;;;;;;;;
D;2;1;Tb;159;65;Dy;161;66;11,599;;;;;;;;;;
Li;7;3;Tb;159;65;Er;166;68;9,8319;;;;;;;;;;
D;2;1;Te;125;52;I;127;53;13,1993;;;;;;;;;;
Н;1;1;Te;126;52;I;127;53;6,255;;;;;;;;;;
Не;4;2;Te;120;52;Xe;124;54;0,925;;;;;;;;;;
Не;4;2;Te;122;52;Xe;126;54;1,3358;;;;;;;;;;
He;3;2;Te;123;52;Xe;126;54;14,9421;;;;;;;;;;
Не;4;2;Te;124;52;Xe;128;54;1,7;;;;;;;;;;
He;3;2;Te;125;52;Xe;128;54;15,7534;;;;;;;;;;
Не;4;2;Te;125;52;Xe;129;54;2,0856;;;;;;;;;;
He;3;2;Te;126;52;Xe;129;54;13,4955;;;;;;;;;;
Не;4;2;Te;126;52;Xe;130;54;2,175;;;;;;;;;;
He;3;2;Te;128;52;Xe;131;54;14,5807;;;;;;;;;;
Не;4;2;Te;128;52;Xe;132;54;2,9351;;;;;;;;;;
Не;4;2;Te;130;52;Xe;134;54;3,6375;;;;;;;;;;
Li;7;3;Te;126;52;Cs;133;55;13,1872;;;;;;;;;;
Li;7;3;Te;130;52;Cs*;137;55;14,7968;;;;;;;;;;
Be;9;4;Te;123;52;Ba;132;56;10,4756;;;;;;;;;;
Be;9;4;Te;125;52;Ba;134;56;11,4537;;;;;;;;;;
Be;9;4;Te;126;52;Ba;135;56;9,1827;;;;;;;;;;
Be;9;4;Te;128;52;Ba;137;56;10,5594;;;;;;;;;;
B;10;5;Te;128;52;La;138;57;10,0965;;;;;;;;;;
B;11;5;Te;128;52;La;139;57;7,41;;;;;;;;;;
C;13;6;Te;123;52;Ce;136;58;0,4043;;;;;;;;;;
C;13;6;Te;125;52;Ce;138;58;1,9133;;;;;;;;;;
He;3;2;Th*;232;90;U*;235;92;9,6018;;;;;;;;;;
D;2;1;Ti;48;22;V;50;23;13,8653;;;;;;;;;;
Н;1;1;Ti;49;22;V;50;23;7,9429;;;;;;;;;;
D;2;1;Ti;49;22;V;51;23;16,7585;;;;;;;;;;
Н;1;1;Ti;50;22;V;51;23;8,0453;;;;;;;;;;
Не;4;2;Ti;46;22;Cr;50;24;8,5558;;;;;;;;;;
He;3;2;Ti;47;22;Cr;50;24;20,2479;;;;;;;;;;
Не;4;2;Ti;48;22;Cr;52;24;9,3494;;;;;;;;;;
He;3;2;Ti;49;22;Cr;52;24;21,7811;;;;;;;;;;
Не;4;2;Ti;49;22;Cr;53;24;9,1463;;;;;;;;;;
He;3;2;Ti;50;22;Cr;53;24;18,7873;;;;;;;;;;
Не;4;2;Ti;50;22;Cr;54;24;7,9307;;;;;;;;;;
Li;7;3;Ti;48;22;Mn;55;25;24,1248;;;;;;;;;;
Li;6;3;Ti;49;22;Mn;55;25;23,2305;;;;;;;;;;
Be;9;4;Ti;47;22;Fe;56;26;27,0245;;;;;;;;;;
Be;9;4;Ti;48;22;Fe;57;26;23,0452;;;;;;;;;;
Be;9;4;Ti;49;22;Fe;58;26;24,9463;;;;;;;;;;
B;11;5;Ti;48;22;Co;59;27;22,4145;;;;;;;;;;
B;10;5;Ti;49;22;Co;59;27;25,7241;;;;;;;;;;
B;11;5;Ti;49;22;Co*;60;27;21,7653;;;;;;;;;;
B;10;5;Ti;50;22;Co*;60;27;22,2841;;;;;;;;;;
C;12;6;Ti;46;22;Ni;58;28;16,1065;;;;;;;;;;
C;13;6;Ti;47;22;Ni;60;28;22,6623;;;;;;;;;;
C;12;6;Ti;48;22;Ni;60;28;15,9891;;;;;;;;;;
C;13;6;Ti;48;22;Ni;61;28;18,8656;;;;;;;;;;
C;12;6;Ti;49;22;Ni;61;28;15,6659;;;;;;;;;;
C;13;6;Ti;49;22;Ni;62;28;21,3089;;;;;;;;;;
C;12;6;Ti;50;22;Ni;62;28;15,3184;;;;;;;;;;
N;15;7;Ti;48;22;Cu;63;29;17,1963;;;;;;;;;;
N;14;7;Ti;49;22;Cu;63;29;20,0402;;;;;;;;;;
N;15;7;Ti;50;22;Cu;65;29;15,9397;;;;;;;;;;
O;18;8;Ti;46;22;Zn;64;30;21,0965;;;;;;;;;;
O;17;8;Ti;47;22;Zn;64;30;20,2572;;;;;;;;;;
O;16;8;Ti;48;22;Zn;64;30;12,7782;;;;;;;;;;
O;18;8;Ti;48;22;Zn;66;30;19,6173;;;;;;;;;;
O;17;8;Ti;49;22;Zn;66;30;19,5176;;;;;;;;;;
O;18;8;Ti;49;22;Zn;67;30;18,5162;;;;;;;;;;
O;16;8;Ti;50;22;Zn;66;30;12,7214;;;;;;;;;;
O;17;8;Ti;50;22;Zn;67;30;15,6258;;;;;;;;;;
O;18;8;Ti;50;22;Zn;68;30;17,7776;;;;;;;;;;
F;19;9;Ti;50;22;Ga;69;31;16,3133;;;;;;;;;;
Ne;22;10;Ti;48;22;Ge;70;32;13,9314;;;;;;;;;;
Ne;21;10;Ti;49;22;Ge;70;32;16,1512;;;;;;;;;;
Ne;20;10;Ti;50;22;Ge;70;32;11,9744;;;;;;;;;;
Ne;22;10;Ti;50;22;Ge;72;32;13,1275;;;;;;;;;;
Mg;26;12;Ti;48;22;Se;74;34;7,5349;;;;;;;;;;
Mg;25;12;Ti;49;22;Se;74;34;10,4858;;;;;;;;;;
Mg;24;12;Ti;50;22;Se;74;34;6,8791;;;;;;;;;;
Mg;26;12;Ti;50;22;Se;76;34;7,5935;;;;;;;;;;
Si;30;14;Ti;48;22;Kr;78;36;1,2491;;;;;;;;;;
Si;29;14;Ti;49;22;Kr;78;36;3,7167;;;;;;;;;;
Si;28;14;Ti;50;22;Kr;78;36;1,2566;;;;;;;;;;
Si;30;14;Ti;50;22;Kr;80;36;2,0195;;;;;;;;;;
Ar;40;18;Ti;50;22;Zr;90;40;2,6585;;;;;;;;;;
Ca;46;20;Ti;46;22;Mo;92;42;0,0298;;;;;;;;;;
Ca;43;20;Ti;49;22;Mo;92;42;0,3325;;;;;;;;;;
Н;1;1;Tl;203;81;Pb;204;82;6,6015;;;;;;;;;;
Н;1;1;Tl;205;81;Pb;206;82;7,3038;;;;;;;;;;
D;2;1;Tl;205;81;Pb;207;82;11,7983;;;;;;;;;;
Н;1;1;Tm;169;69;Yb;170;70;6,7952;;;;;;;;;;
D;2;1;Tm;169;69;Yb;171;70;11,1518;;;;;;;;;;
Li;7;3;Tm;169;69;Hf;176;72;8,1087;;;;;;;;;;
D;2;1;V;50;23;Cr;52;24;19,3313;;;;;;;;;;
Н;1;1;V;51;23;Cr;52;24;10,5156;;;;;;;;;;
D;2;1;V;51;23;Cr;53;24;16,235;;;;;;;;;;
Не;4;2;V;51;23;Mn;55;25;7,9429;;;;;;;;;;
Li;6;3;V;50;23;Fe;56;26;25,4847;;;;;;;;;;
Li;7;3;V;50;23;Fe;57;26;25,8732;;;;;;;;;;
Li;6;3;V;51;23;Fe;57;26;22,0857;;;;;;;;;;
Li;7;3;V;51;23;Fe;58;26;24,8811;;;;;;;;;;
Be;9;4;V;50;23;Co;59;27;24,3688;;;;;;;;;;
Be;9;4;V;51;23;Co*;60;27;20,8263;;;;;;;;;;
B;10;5;V;50;23;Ni;60;28;27,3123;;;;;;;;;;
B;11;5;V;50;23;Ni;61;28;23,6795;;;;;;;;;;
B;10;5;V;51;23;Ni;61;28;24,0959;;;;;;;;;;
B;11;5;V;51;23;Ni;62;28;23,2296;;;;;;;;;;
C;13;6;V;50;23;Cu;63;29;19,4906;;;;;;;;;;
C;12;6;V;51;23;Cu;63;29;13,3977;;;;;;;;;;
N;14;7;V;50;23;Zn;64;30;19,8054;;;;;;;;;;
N;15;7;V;51;23;Zn;66;30;16,8023;;;;;;;;;;
O;18;8;V;51;23;Ga;69;31;16,2602;;;;;;;;;;
F;19;9;V;51;23;Ge;70;32;16,7725;;;;;;;;;;
Na;23;11;V;51;23;Se;74;34;10,5268;;;;;;;;;;
Al;27;13;V;51;23;Kr;78;36;4,7925;;;;;;;;;;
D;2;1;W;183;74;Re;185;75;10,593;;;;;;;;;;
Н;1;1;W;184;74;Re;185;75;5,398;;;;;;;;;;
Н;1;1;W;186;74;Re;187;75;5,7799;;;;;;;;;;
He;3;2;W;183;74;Os;186;76;11,5319;;;;;;;;;;
He;3;2;W;184;74;Os;187;76;10,3023;;;;;;;;;;
He;3;2;W;186;74;Os;189;76;11,2897;;;;;;;;;;
Li;7;3;W;184;74;Ir;191;77;5,724;;;;;;;;;;
Li;7;3;W;186;74;Ir;193;77;6,581;;;;;;;;;;
Be;9;4;W;183;74;Pt;192;78;0,9743;;;;;;;;;;
Be;9;4;W;186;74;Pt;195;78;1,5891;;;;;;;;;;
D;2;1;Xe;131;54;Cs;133;55;13,1331;;;;;;;;;;
Н;1;1;Xe;132;54;Cs;133;55;6,4245;;;;;;;;;;
Н;1;1;Xe;136;54;Cs*;137;55;7,6625;;;;;;;;;;
Не;4;2;Xe;126;54;Ba;130;56;0,5328;;;;;;;;;;
Не;4;2;Xe;128;54;Ba;132;56;0,9511;;;;;;;;;;
He;3;2;Xe;129;54;Ba;132;56;14,6189;;;;;;;;;;
Не;4;2;Xe;130;54;Ba;134;56;1,6795;;;;;;;;;;
He;3;2;Xe;131;54;Ba;134;56;15,6556;;;;;;;;;;
Не;4;2;Xe;131;54;Ba;135;56;1,9748;;;;;;;;;;
He;3;2;Xe;132;54;Ba;135;56;13,6203;;;;;;;;;;
Не;4;2;Xe;132;54;Ba;136;56;2,2402;;;;;;;;;;
He;3;2;Xe;134;54;Ba;137;56;14,7809;;;;;;;;;;
Не;4;2;Xe;134;54;Ba;138;56;2,7861;;;;;;;;;;
Li;7;3;Xe;131;54;La;138;57;13,3036;;;;;;;;;;
Li;6;3;Xe;132;54;La;138;57;11,6232;;;;;;;;;;
Li;7;3;Xe;132;54;La;139;57;13,1406;;;;;;;;;;
Be;9;4;Xe;129;54;Ce;138;58;10,4793;;;;;;;;;;
Be;9;4;Xe;131;54;Ce;140;58;10,6684;;;;;;;;;;
B;11;5;Xe;130;54;Pr;141;59;5,0534;;;;;;;;;;
B;10;5;Xe;131;54;Pr;141;59;9,9074;;;;;;;;;;
C;13;6;Xe;129;54;Nd;142;60;0,6148;;;;;;;;;;
Н;1;1;Y;89;39;Zr;90;40;8,3229;;;;;;;;;;
D;2;1;Y;89;39;Zr;91;40;13,3036;;;;;;;;;;
Не;4;2;Y;89;39;Nb;93;41;1,8751;;;;;;;;;;
Li;6;3;Y;89;39;Mo;95;42;13,8196;;;;;;;;;;
Li;7;3;Y;89;39;Mo;96;42;15,7283;;;;;;;;;;
B;10;5;Y;89;39;Ru;99;44;11,4471;;;;;;;;;;
B;11;5;Y;89;39;Ru;100;44;10,9125;;;;;;;;;;
N;15;7;Y;89;39;Pd;104;46;1,8425;;;;;;;;;;
D;2;1;Yb;173;70;Lu;175;71;10,7234;;;;;;;;;;
Н;1;1;Yb;174;70;Lu;175;71;5,547;;;;;;;;;;
D;2;1;Yb;174;70;Lu;176;71;9,6708;;;;;;;;;;
He;3;2;Yb;171;70;Hf;174;72;11,4108;;;;;;;;;;
He;3;2;Yb;173;70;Hf;176;72;11,8113;;;;;;;;;;
He;3;2;Yb;174;70;Hf;177;72;10,7774;;;;;;;;;;
He;3;2;Yb;176;70;Hf;179;72;11,8765;;;;;;;;;;
Li;7;3;Yb;173;70;Ta;180;73;6,3202;;;;;;;;;;
Li;6;3;Yb;174;70;Ta;180;73;6,1721;;;;;;;;;;
Li;7;3;Yb;174;70;Ta;181;73;6,5624;;;;;;;;;;
Be;9;4;Yb;171;70;W;180;74;1,5705;;;;;;;;;;
Be;9;4;Yb;173;70;W;182;74;2,0642;;;;;;;;;;
Be;9;4;Yb;174;70;W;183;74;0,8532;;;;;;;;;;
D;2;1;Zn;67;30;Ga;69;31;14,5024;;;;;;;;;;
Н;1;1;Zn;68;30;Ga;69;31;6,5279;;;;;;;;;;
Н;1;1;Zn;70;30;Ga;71;31;7,7621;;;;;;;;;;
Не;4;2;Zn;66;30;Ge;70;32;3,9812;;;;;;;;;;
He;3;2;Zn;67;30;Ge;70;32;17,514;;;;;;;;;;
Не;4;2;Zn;68;30;Ge;72;32;5,017;;;;;;;;;;
He;3;2;Zn;70;30;Ge;73;32;16,7837;;;;;;;;;;
Не;4;2;Zn;70;30;Ge;74;32;6,3351;;;;;;;;;;
Li;7;3;Zn;68;30;As;75;33;17,9685;;;;;;;;;;
Be;9;4;Zn;67;30;Se;76;34;18,7286;;;;;;;;;;
Be;9;4;Zn;68;30;Se;77;34;15,9444;;;;;;;;;;
B;11;5;Zn;68;30;Br;79;35;14,7381;;;;;;;;;;
B;11;5;Zn;70;30;Br;81;35;17,0547;;;;;;;;;;
C;12;6;Zn;66;30;Kr;78;36;5,2909;;;;;;;;;;
C;13;6;Zn;67;30;Kr;80;36;13,1527;;;;;;;;;;
C;12;6;Zn;68;30;Kr;80;36;7,9009;;;;;;;;;;
C;12;6;Zn;70;30;Kr;82;36;11,0522;;;;;;;;;;
C;13;6;Zn;70;30;Kr;83;36;13,5728;;;;;;;;;;
N;15;7;Zn;70;30;Rb;85;37;12,8043;;;;;;;;;;
O;18;8;Zn;66;30;Sr;84;38;11,0214;;;;;;;;;;
O;17;8;Zn;67;30;Sr;84;38;12,0228;;;;;;;;;;
O;16;8;Zn;68;30;Sr;84;38;5,9653;;;;;;;;;;
O;18;8;Zn;68;30;Sr;86;38;13,7535;;;;;;;;;;
O;16;8;Zn;70;30;Sr;86;38;10,2492;;;;;;;;;;
O;17;8;Zn;70;30;Sr;87;38;14,5239;;;;;;;;;;
O;18;8;Zn;70;30;Sr;88;38;17,6034;;;;;;;;;;
F;19;9;Zn;70;30;Y;89;39;17,0678;;;;;;;;;;
Ne;22;10;Zn;68;30;Zr;90;40;11,1127;;;;;;;;;;
Ne;20;10;Zn;70;30;Zr;90;40;12,5472;;;;;;;;;;
Ne;21;10;Zn;70;30;Zr;91;40;12,9915;;;;;;;;;;
Ne;22;10;Zn;70;30;Zr;92;40;11,3111;;;;;;;;;;
Na;23;11;Zn;70;30;Nb;93;41;8,4775;;;;;;;;;;
